19810101
-1.73,-10.63
-7.01,-21.41
-13.12,-31.42
-20.86,-35.57
-14.45,-31.86
-5.33,-16.00
-8.08,-27.27
-15.35,-26.95
-11.01,-24.50
-16.43,-29.71
-13.71,-27.94
-7.72,-25.89
0.38,-13.50
-4.50,-12.60
-5.16,-20.96
-10.48,-22.07
-7.36,-20.94
1.49,-14.18
6.96,-15.85
3.47,-14.24
-0.77,-14.68
5.05,-12.96
4.99,-12.72
7.26,-10.56
10.47,-6.77
5.78,-7.96
-5.04,-17.39
-8.81,-18.18
-9.28,-23.09
-7.69,-25.66
-3.98,-20.81
-3.60,-13.96
-11.85,-27.39
-17.65,-28.70
-12.77,-27.62
-10.82,-25.86
-5.51,-15.56
-2.99,-11.66
-4.29,-20.35
-11.53,-25.12
-15.70,-27.06
-19.49,-36.42
-18.34,-34.55
-10.07,-28.40
0.00,-18.42
4.03,-10.27
8.08,-4.06
11.04,-3.63
11.89,-1.15
11.39,-3.17
8.14,-5.19
8.84,-2.27
4.24,-1.70
4.28,-3.90
4.43,-5.32
3.22,-8.38
3.03,-10.76
2.82,-8.53
0.04,-4.92
-0.48,-7.67
0.25,-15.42
-2.07,-17.41
4.37,-9.49
0.86,-15.55
-1.52,-17.47
-1.27,-14.53
2.83,-12.61
5.11,-8.08
1.35,-6.63
3.13,-8.82
10.54,-6.05
7.34,-7.81
3.40,-8.18
12.26,-2.51
6.67,-9.72
10.50,-9.08
1.68,-9.88
0.20,-8.99
1.22,-10.43
5.73,-9.98
8.31,-6.30
11.25,-8.90
10.41,-5.99
14.63,-3.25
9.57,-1.28
8.13,-4.40
12.65,0.03
17.73,2.76
6.92,-0.13
7.36,-0.78
7.93,-1.16
8.71,-3.63
18.56,0.93
6.68,-3.41
3.85,-8.86
8.35,-7.55
13.62,-0.20
14.53,-2.39
13.90,-4.32
17.38,3.06
17.69,-3.05
7.44,-3.80
16.44,1.58
6.76,-8.40
6.65,-6.94
17.30,1.69
17.48,6.38
15.49,-5.88
13.71,-0.86
11.20,-6.21
9.93,-3.02
9.05,-0.04
10.21,-0.06
4.14,-0.74
10.91,-1.74
11.66,-0.18
20.93,4.10
11.25,4.12
14.51,4.31
13.15,2.48
12.69,-0.69
16.49,1.23
