19810101
-1.59,-11.12
-7.08,-20.09
-13.23,-31.85
-19.90,-35.71
-13.96,-31.72
-4.63,-15.67
-9.14,-27.42
-14.67,-25.23
-10.60,-24.59
-17.15,-30.48
-13.55,-29.03
-6.68,-26.00
0.59,-14.05
-3.06,-12.52
-5.13,-20.76
-10.45,-23.19
-7.63,-21.51
1.76,-14.49
6.10,-14.57
2.69,-14.21
-2.69,-15.28
5.68,-14.30
5.14,-13.34
7.48,-10.49
10.39,-6.82
2.83,-8.02
-5.47,-17.68
-9.67,-18.06
-9.25,-23.76
-7.72,-25.95
-4.17,-21.18
-4.03,-16.15
-12.95,-26.57
-16.45,-27.17
-11.85,-27.01
-9.33,-25.35
-5.12,-14.52
-3.51,-12.33
-5.06,-22.01
-12.37,-25.73
-16.50,-27.88
-19.34,-36.66
-17.23,-35.44
-9.99,-28.14
0.40,-17.22
4.61,-9.97
8.27,-4.46
10.94,-3.69
11.75,-1.46
10.50,-2.15
8.02,-3.58
8.64,-2.27
4.05,-2.87
5.42,-4.11
5.36,-4.75
3.68,-8.23
3.94,-9.36
3.62,-7.24
-0.27,-6.48
-1.09,-7.35
0.29,-15.93
-1.60,-16.21
5.19,-9.15
1.28,-14.21
-1.03,-16.14
-1.06,-14.80
2.99,-12.41
4.51,-8.11
1.58,-5.85
3.71,-8.04
11.84,-5.77
7.66,-8.18
3.24,-7.74
13.42,-2.85
6.13,-8.71
11.94,-8.23
2.15,-9.66
1.39,-8.80
2.47,-10.95
6.42,-9.47
8.64,-6.50
11.07,-8.26
11.63,-4.67
15.52,-2.44
8.22,-0.85
9.08,-4.36
12.57,0.40
17.21,2.15
6.15,0.99
6.60,0.23
6.29,-0.49
8.60,-2.01
18.23,1.92
5.92,-2.86
4.97,-8.49
9.13,-6.00
14.89,-0.05
14.28,-2.69
14.40,-3.87
17.56,3.11
17.38,-4.74
6.68,-3.62
15.78,1.14
7.04,-8.31
7.16,-6.30
18.77,3.35
18.16,6.95
14.09,-6.42
13.63,-1.26
11.07,-4.98
10.67,-0.62
9.45,1.63
9.22,0.25
5.44,-0.94
12.48,-0.94
13.46,0.27
21.49,5.11
11.65,4.71
14.54,5.71
13.14,3.45
14.76,-0.09
17.21,1.34
22.81,7.62
21.19,6.91
16.89,1.63
16.18,-2.93
17.98,-0.70
18.48,3.29
16.53,-1.08
8.83,-6.37
13.79,-0.58
16.56,-1.43
19.06,-1.02
21.28,0.50
22.68,3.64
23.48,7.64
19.94,3.71
19.52,-0.25
21.59,0.05
25.12,4.55
26.53,5.17
26.87,12.33
25.36,13.79
20.47,12.36
17.57,9.35
16.13,8.68
15.67,9.18
19.97,9.11
20.08,10.73
20.37,4.41
17.58,2.49
18.41,7.59
21.23,8.74
17.86,10.27
24.26,8.05
25.49,11.69
25.31,9.12
25.51,11.90
25.66,9.93
21.41,6.14
22.60,7.19
22.96,7.50
25.39,7.88
